"구분","오염원","d15N","d18O","Step1_Pass","ModZ_d15N","ModZ_d18O","Step2_Pass","MCD_Distance","Step3_Pass"
"생활계","안계하수처리장",4.57,0.2,TRUE,1.37165347725492,0.7068016940623,TRUE,4.22207950163194,TRUE
"생활계","양평하수처리장",-4.02,-14.8,TRUE,2.9945878256874,3.73595181147216,FALSE,NA,FALSE
"생활계","하신하수처리장",7.66,1.41,TRUE,0.787850550985267,0.462450251257905,TRUE,1.59942579071477,TRUE
"생활계","하신하수처리장",9.57,3.31,TRUE,0.426988548015996,0.0787579030526564,TRUE,0.676988149751857,TRUE
"생활계","오수하수처리장",9.95,2.1,TRUE,0.355194013393837,0.323109345857052,TRUE,0.467133841970339,TRUE
"생활계","오수하수처리장",19.28,-3.13,TRUE,1.407550744566,1.37927302012729,TRUE,8.75255262709165,FALSE
"생활계","현포하수처리장",0.67,1.64,TRUE,2.10849212206129,0.416003282790954,TRUE,10.0678045915286,FALSE
"생활계","남원 생태습지 방류수",11.04,-3.61,TRUE,0.149257058819751,1.4762058238844,TRUE,2.70625965674654,TRUE
"생활계","남원하수처리장",10.83,-4.85,TRUE,0.188932985847786,1.72661556692362,TRUE,3.72485115050639,TRUE
"생활계","웅정 하수처리장",6.49,-4.55,TRUE,1.00890214442718,1.66603256457542,TRUE,4.14748454521362,TRUE
"생활계","화순읍 하수처리장 방류수",9.77,-1.17,TRUE,0.389201950846439,0.983464071452401,TRUE,1.25157250841366,TRUE
"생활계","화순읍 하수처리장 방류수",11.48,0.36,TRUE,0.0661265450467249,0.674490759476595,TRUE,0.534622778012751,TRUE
"생활계","화순읍 하수처리장 방류수",9.83,-1.54,TRUE,0.377865971695572,1.05818310768184,TRUE,1.40536681678147,TRUE
"생활계","화순읍 하수처리장 방류수",8.12,-0.73,TRUE,0.700941377495285,0.894609001341712,TRUE,1.62326854914727,TRUE
"생활계","화순읍 하수처리장 방류수",8.98,-0.69,TRUE,0.538459009666189,0.886531267695285,TRUE,1.2739249894305,TRUE
"생활계","화순읍 하수처리장 방류수",11.7,0.36,TRUE,0.0245612881602123,0.674490759476595,TRUE,0.539706392737193,TRUE
"생활계","화순읍 하수처리장 방류수",12.29,2.32,TRUE,0.0869091734899813,0.278681810801707,TRUE,0.0870319394227087,TRUE
"생활계","화순읍 하수처리장 방류수",12.98,2.63,TRUE,0.217272933724954,0.216079375041903,TRUE,0.0905811452325666,TRUE
"생활계","화순읍 하수처리장 방류수",20.5,5.45,TRUE,1.6380489873003,0.35340084703115,TRUE,4.25884182428041,TRUE
"생활계","화순읍 하수처리장 방류수",10.89,0.19,TRUE,0.177597006696918,0.708821127473907,TRUE,0.610510496279692,TRUE
"생활계","화순읍 하수처리장 방류수",10.95,-2.96,TRUE,0.166261027546052,1.34494265212998,TRUE,2.21235418884326,TRUE
"생활계","도곡온천 하수처리장 방류수",21.7,4.57,TRUE,1.86476857031765,0.175690706809772,TRUE,6.03163884694651,FALSE
"생활계","도곡온천 하수처리장 방류수",20.47,1.22,TRUE,1.63238099772487,0.50081948607843,TRUE,6.23836683857116,FALSE
"생활계","산포 하수종말처리시설 방류수",13.38,4.66,TRUE,0.292846128064068,0.193865607514231,TRUE,0.0659106099520331,TRUE
"생활계","이양 마을하수처리시설 방류수",2.16,-3.58,TRUE,1.82698197314809,1.47014752364958,TRUE,7.44760427327128,FALSE
"생활계","이양 마을하수처리시설 방류수",20.62,0.06,TRUE,1.66072094560204,0.735073761824792,TRUE,7.38314507225562,FALSE
"생활계","이양 마을하수처리시설 방류수",12.28,-1.7,TRUE,0.0850198436315034,1.09049404226755,TRUE,1.61625186991149,TRUE
"생활계","이양 마을하수처리시설 방류수",18.02,0.77,TRUE,1.16949518239779,0.591693989600726,TRUE,3.64425649028807,TRUE
"생활계","이양 마을하수처리시설 방류수",23.7,6.6,TRUE,2.24263454201322,0.585635689365906,TRUE,8.29796011611564,FALSE
"생활계","효천하수처리장 방류수",11.37,1.92,TRUE,0.0869091734899816,0.35945914726597,TRUE,0.177018584703114,TRUE
"생활계","효천하수처리장 방류수",11.83,0.92,TRUE,0,0.561402488426627,TRUE,0.369614460276622,TRUE
"생활계","월곡마을하수처리장",2.12,7.97,TRUE,1.834539292582,0.862298066756006,TRUE,12.3122501909005,FALSE
"생활계","효천하수처리장 방류수",11.83,0.92,TRUE,0,0.561402488426627,TRUE,0.369614460276622,TRUE
"축산계","퇴비-1",13.4,24.8,TRUE,0.847931240484863,1.88104054737103,TRUE,10.4099000117798,FALSE
"축산계","퇴비-2",17.8,17.8,TRUE,0,1.05705532636995,TRUE,3.8817970348182,TRUE
"축산계","퇴비-3",17.8,24.7,TRUE,0,1.86926932992816,TRUE,10.4765729480357,FALSE
"축산계","퇴비-4",15.2,8,TRUE,0.501050278468328,0.0965239830315547,TRUE,0.194566964027418,TRUE
"축산계","퇴비-5",21.6,10.4,TRUE,0.732304253146018,0.185985235597386,TRUE,1.30549132403122,TRUE
"축산계","퇴비-6",14.3,9.7,TRUE,0.674490759476595,0.103586713497278,TRUE,0.523155660367665,TRUE
"축산계","퇴비-7",12.5,10.3,TRUE,1.02137172149313,0.174214018154513,TRUE,1.16584852434555,TRUE
"축산계","퇴비-8",20.8,10.9,TRUE,0.578134936694224,0.244841322811748,TRUE,1.14291027985067,TRUE
"축산계","퇴비-9",12.9,15.3,TRUE,0.944287063267233,0.762774890298139,TRUE,2.68407132608685,TRUE
"축산계","퇴비-10",11.5,16.6,TRUE,1.21408336705787,0.915800717055482,TRUE,3.87001681054603,TRUE
"축산계","퇴비 유출수(소)-1",4.31,8.19,TRUE,2.59968009866836,0.0741586698900969,TRUE,7.20315763695321,FALSE
"축산계","나주 가축분뇨",20.92,-8.22,TRUE,0.601260334161994,2.00581545226548,TRUE,7.96665056096283,FALSE
"축산계","장성 분뇨처리수",21.67,6.23,TRUE,0.74579406833555,0.304874531770398,TRUE,0.816527369502138,TRUE
"축산계","장성 가축처리수",34.14,13.6,TRUE,3.14890828852788,0.562664193769306,TRUE,14.8651737805828,FALSE
"축산계","남평퇴비",31.91,29.75,TRUE,2.7191613189185,2.46371581079322,TRUE,30.0116977221028,FALSE
"축산계","계분 퇴비",-17.43,54.84,TRUE,6.78923127324584,5.41711426720993,FALSE,NA,FALSE
"축산계","감정천 퇴비유출수(소)",12.17,9.64,TRUE,1.08496656452949,0.0965239830315547,TRUE,1.20826235774556,TRUE
"축산계","돈분 액비-2",25.95,13.16,TRUE,1.57059991135264,0.510870837020667,TRUE,5.0166877431438,TRUE
"축산계","돈분 하천 방류수-3",17.72,8.82,TRUE,0.0154169316451797,0,TRUE,0.107217038094009,TRUE
"축산계","감정천 퇴비유출수",17.66,10.89,TRUE,0.0269796303790639,0.243664201067461,TRUE,0.48724466210556,TRUE
"축산계","감정천 퇴비유출수",18.17,9.27,TRUE,0.0713033088589545,0.0529704784929262,TRUE,0.201774087057209,TRUE
"축산계","복암제 상류 인공습지",23.54,53.59,TRUE,1.10616484554162,5.26997404917403,FALSE,NA,FALSE
"축산계","광주천 부숙퇴비",18.2,4.75,TRUE,0.0770846582258963,0.479088549924911,TRUE,0.20995453496716,TRUE
"축산계","만봉천 부숙퇴비(소)",15.31,3.09,TRUE,0.479851997456206,0.674490759476595,TRUE,0.819474268314669,TRUE
"축산계","영산천 부숙퇴비(소)",19.24,8.46,TRUE,0.277504769613227,0.042376382794341,TRUE,0.247371536744971,TRUE
"축산계","추동천 퇴비",24.47,-0.67,TRUE,1.28538667591683,1.1170885353286,TRUE,3.70523125891024,TRUE
"축산계","돈분퇴비",4.09,16.76,TRUE,2.64207666069261,0.934634664964078,TRUE,9.3050911641718,FALSE
"축산계","승가교 퇴비(소)",20.93,5.27,TRUE,0.603187450617641,0.417878219221974,TRUE,0.621454136937754,TRUE
"축산계","남평퇴비",24.39,1.32,TRUE,1.26996974427165,0.882841308215439,TRUE,2.89431755036705,TRUE
"축산계","적치퇴비",6.32,-0.06,TRUE,2.21232969108323,1.04528410892708,TRUE,7.83764242728385,FALSE
"축산계","요천 인근 적치퇴비",31.68,-7.79,TRUE,2.67483764043861,1.95519921726112,TRUE,14.2220620852318,FALSE
"축산계","적치퇴비",2,-3.04,TRUE,3.04484399992292,1.39606638872468,TRUE,15.3366867822728,FALSE
"축산계","적치퇴비",15.57,2.06,TRUE,0.429746969609374,0.795734299138182,TRUE,1.10488601200117,TRUE
"축산계","적치퇴비",31.9,-0.34,TRUE,2.71723420246285,1.07824351776712,TRUE,9.9802576201195,FALSE
"축산계","축사유출수",9.18,-0.3,TRUE,1.66117438476807,1.07353503078997,TRUE,5.38851833772881,TRUE
"축산계","적치퇴비",13.4,24.37,TRUE,0.847931240484863,1.83042431236668,TRUE,9.92241664345565,FALSE
"축산계","적치퇴비",15.93,15.78,TRUE,0.360370777206067,0.819276734023927,TRUE,2.45602567497285,TRUE
"축산계","적치퇴비",18.76,3.97,TRUE,0.185003179742152,0.570904045979317,TRUE,0.388795650178261,TRUE
"축산계","적치퇴비",15.11,9.72,TRUE,0.518394326569155,0.105940956985853,TRUE,0.366261785212966,TRUE
"축산계","시판퇴비",19.26,3,TRUE,0.281359002524523,0.68508485517518,TRUE,0.666970994526155,TRUE
"축산계","우분퇴비(만봉천)",15.97,2.65,TRUE,0.352662311383477,0.726284116225234,TRUE,0.829941048890723,TRUE
"축산계","우분퇴비(영산천)",19.62,7.36,TRUE,0.35073519492783,0.171859774665939,TRUE,0.240739293946429,TRUE
"축산계","우분퇴비(승가교)",21.09,4.13,TRUE,0.634021313907999,0.552070098070721,TRUE,0.813497497195924,TRUE
"축산계","우분퇴비(남평)",24.48,1.67,TRUE,1.28731379237247,0.841642047165385,TRUE,2.8373028249263,TRUE
"축산계","돈분퇴비",17.72,8.82,TRUE,0.0154169316451797,0,TRUE,0.107217038094009,TRUE
"축산계","감정천 퇴비 유출수",17.66,10.89,TRUE,0.0269796303790639,0.243664201067461,TRUE,0.48724466210556,TRUE
"축산계","감정천 퇴비 유출수",18.17,9.27,TRUE,0.0713033088589545,0.0529704784929262,TRUE,0.201774087057209,TRUE
"농업계","밭토양 유출수-3",12.25,7.79,TRUE,0.983412059169683,0.0826362851014372,TRUE,0.793944200773105,TRUE
"농업계","퇴비, 밭 유출수-5",-0.44,1.26,TRUE,0.933561678290114,0.646573095590975,TRUE,1.65758559581711,TRUE
"농업계","과수원 유출수-6",4.95,4.34,TRUE,0.119338790590484,0.302627476520128,TRUE,0.203300830229072,TRUE
"농업계","토양 유출수-4",2.93,3.51,TRUE,0.424483546277544,0.395314120620389,TRUE,0.508772201130435,TRUE
"농업계","논유출수",1.93,7.16,TRUE,0.575545306518663,0.0122837721096731,TRUE,0.3575724422761,TRUE
"농업계","논유출수",11.45,30.55,TRUE,0.862562650976788,2.62426040524834,TRUE,10.2110876386511,FALSE
"농업계","밭토양 감나무",6.44,-1.68,TRUE,0.105743232168783,0.974884822885874,TRUE,1.43239177321478,TRUE
"농업계","밭토양 깻잎",4.18,2.57,TRUE,0.235656345976145,0.500284536830322,TRUE,0.512970031832646,TRUE
"농업계","밭토양 고구마",8.31,-1.92,TRUE,0.388228723819675,1.00168578021607,TRUE,1.5550961894873,TRUE
"농업계","산포천 논배수로",9.6,5.88,TRUE,0.583098394530718,0.130654666984705,TRUE,0.281491839381794,TRUE
"농업계","대촌천 논토양1",1.67,4.11,TRUE,0.614821364181353,0.328311727294899,TRUE,0.635881405193952,TRUE
"농업계","광주천 논토양",8.62,11.47,TRUE,0.435057869494422,0.493584297497773,TRUE,0.445535575281452,TRUE
"농업계","만봉천 논토양",1.41,8.97,TRUE,0.654097421844044,0.214407658641567,TRUE,0.464884893759959,TRUE
