spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source,TN/TP,TOC/TN,Cl/TN,d15N/d18O,NH3N/NO3N,NO3N/Cl
JS-11,15.6,8.2,10.6,1.3,104.0,2.233,2.082,1.843666667,0.068,0.167,0.11,0.108,1.7,7.500666667,8.77,6.38,생활하수/처리수 영향,13.37125748502994,0.7613076578593819,3.3590088074339453,1.3746081504702194,0.03688302295482137,0.24580037333366808
JS-12,12.5,7.6,11.1,0.5,103.0,1.694,1.64,1.509,0.015,0.019,0.006,0.001,1.3,5.906666667,6.9,1.1,토양-질소 기원,89.15789473684211,0.7674144037780402,3.486816214285714,6.2727272727272725,0.009940357852882704,0.2554740406176369
JS-13,14.5,8.5,10.7,1.1,103.0,1.977,1.924,1.709333333,0.037,0.115,0.083,0.08,1.8,7.277333333,9.17,3.61,생활하수/처리수 영향,17.191304347826087,0.9104704097116844,3.6809981451694482,2.5401662049861495,0.021645865838854497,0.2348845730686554
JS-14,13.7,9.1,11.3,1.4,125.0,1.876,1.82,1.574333333,0.04,0.052,0.03,0.024,2.4,9.060666667,6.52,2.88,토양-질소 기원,36.07692307692307,1.279317697228145,4.829779673240938,2.263888888888889,0.0254075799333914,0.1737546905608949
JS-15,14.3,7.2,10.1,1.3,104.0,1.74,1.671,1.445666667,0.024,0.079,0.052,0.048,1.9,7.499,8.77,3.77,생활하수/처리수 영향,22.025316455696203,1.0919540229885056,4.309770114942529,2.326259946949602,0.01660133732612374,0.19278125976796906
JS-16,15.0,7.4,10.8,1.4,163.0,2.316,2.231,1.875333333,0.033,0.078,0.028,0.02,3.8,11.91633333,8.74,2.49,생활하수/처리수 영향,29.69230769230769,1.6407599309153713,5.14522164507772,3.51004016064257,0.017596871670386934,0.15737503148546114
JS-17,14.5,7.3,9.9,1.1,107.0,1.786,1.676,1.477,0.018,0.07,0.047,0.044,2.0,7.682,8.71,4.45,생활하수/처리수 영향,25.514285714285712,1.1198208286674132,4.301231802911534,1.957303370786517,0.012186865267433986,0.19226763863577193
JS-18,14.3,7.3,10.4,0.6,192.0,1.279,1.191,1.038333333,0.024,0.019,0.007,0.002,1.8,7.108333333,5.41,2.25,토양-질소 기원,67.3157894736842,1.4073494917904614,5.557727390930415,2.4044444444444446,0.02311396469441861,0.14607268460239498
JS-19,15.8,7.5,10.3,1.3,120.0,1.694,1.615,1.434666667,0.016,0.069,0.043,0.039,2.2,7.887,8.2,3.53,생활하수/처리수 영향,24.550724637681157,1.298701298701299,4.6558441558441555,2.3229461756373935,0.011152416354286149,0.18190270914162546
JS-20,16.0,7.8,10.7,1.4,181.0,1.929,1.866,1.626,0.018,0.036,0.02,0.013,2.0,11.57133333,8.59,3.51,생활하수/처리수 영향,53.583333333333336,1.0368066355624677,5.998617589424572,2.4472934472934473,0.01107011070110701,0.14051967509953323
