spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source
JS-21,16.5,7.2,9.7,1.5,131,2.1985,1.9995,1.75,0.1,0.0965,0.053,0.046,2.95,7.925,6.79,2.49,
JS-22,15.9,7.2,10.3,1.6,145,2.4955,2.36,2.2445,0.0135,0.0455,0.0295,0.0245,2.4,12.603,5.7,-0.68,
JS-23,16.4,7.5,9.8,1.9,118,2.092,1.916,1.715,0.0635,0.088,0.0515,0.045,3,7.513,6.38,2.35,
JS-24,17.1,7.3,9.8,2.3,150,2.3765,2.1875,1.848,0.0995,0.119,0.085,0.0805,4.15,8.8695,6.94,3.07,
JS-25,16.3,7.2,9.7,1.8,123,2.2115,2.0405,1.774,0.0755,0.1015,0.062,0.0535,3.3,7.851,6.37,2.46,
JS-26,17,7.3,9.4,2.5,148,2.2235,1.9855,1.7365,0.0275,0.0895,0.049,0.0355,4.55,9.4835,7.54,2.41,
JS-27,18.6,7.9,10.7,1.8,147,3.867,3.7225,3.3975,0.044,0.312,0.303,0.295,5.25,9.4085,6.09,2.36,
JS-28,16.5,6.9,10.1,1.4,207,3.8155,3.649,3.4835,0.0275,0.0925,0.066,0.058,3.3,12.5825,6.6,2.39,
JS-29,17.1,7,9,1.8,111,2.14,1.9655,1.728,0.0825,0.0855,0.054,0.046,3.1,7.319,5.52,2.68,
JS-30,16.1,7.3,9.4,1.9,133,2.9225,2.705,2.6195,0.02,0.0665,0.044,0.0385,3.05,7.9255,7.38,1.66,
JS-31,16.7,6.7,9.3,2,126,2.24,2.022,1.8505,0.0795,0.091,0.0515,0.0465,3.05,7.5585,6.05,2.9,
JS-32,15.8,6.5,8.7,2.4,153,2.6805,2.4795,2.1645,0.114,0.16,0.116,0.1145,3.9,10.244,7.74,3.22,
JS-33,17.4,6.5,9.4,2.7,215,2.974,2.633,2.0625,0.2495,0.1675,0.0685,0.059,4.7,19.0315,8.07,2.42,
JS-34,17,6.5,9.5,1.7,126,2.2425,2.036,1.847,0.065,0.0925,0.056,0.047,3.25,7.6335,6.09,2.94,
JS-35,19.9,7.9,9.7,2.9,163,2.262,1.985,1.6175,0.07,0.191,0.1055,0.094,5.2,10.0415,7.3,3.37,
JS-36,17.5,7.1,9.4,1.9,131,2.3185,2.0855,1.8785,0.0805,0.1035,0.0575,0.052,3.3,8.1045,6.22,2.95,
JS-20B,17.6,6.9,8.5,12.1,313,9.9175,8.0695,3.928,3.587,0.8,0.2855,0.272,14.36666667,33.9405,11.48,0.36,
JS-1,19,8.1,9.3,1.8,167,1.321,1.199,0.744,0.089,0.072,0.039,0.022,3.7,14.886,7.07,-0.39,
JS-2,19.5,7.7,8.3,1.8,92,1.074,0.947,0.646,0.064,0.071,0.023,0.01,3.3,5.449,6.27,2.06,
JS-3,19.8,7,9.4,2.3,114,1.394,1.18,0.715,0.088,0.122,0.042,0.025,4.2,7.913,7.17,1.43,
JS-4,18.8,7.1,9.3,2.2,109,2.811,2.741,0.716,1.015,0.07,0.037,0.027,3.5,7.22,-1.51,-4.58,
JS-5,19.9,6.8,7.9,2.6,122,1.637,1.494,0.775,0.246,0.127,0.052,0.04,4.3,8.826,5.73,1.85,
JS-6,19.8,7.1,9,2.8,105,1.174,1.009,0.562,0.095,0.086,0.029,0.017,4.3,6.492,5.15,1.12,
