BIX,FI,site,round
0.67,1.27,JS-04,round04
0.69,1.31,JS-05,round04
0.68,1.3,JS-06,round04
0.69,1.3,JS-07,round04
0.7,1.32,JS-08,round04
0.7,1.29,JS-09,round04
0.74,1.36,JS-10,round04
0.74,1.32,JS-11,round04
0.7,1.28,JS-12,round04
0.74,1.32,JS-13,round04
0.73,1.32,JS-14,round04
0.72,1.32,JS-15,round04
0.72,1.35,JS-16,round04
0.72,1.36,JS-17,round04
0.74,1.41,JS-18,round04
0.74,1.36,JS-19,round04
0.76,1.33,JS-20,round04
0.81,1.35,JS-21,round04
1.23,1.5,JS-22,round04
0.8,1.38,JS-23,round04
0.73,1.33,JS-24,round04
0.82,1.36,JS-25,round04
0.79,1.38,JS-26,round04
0.81,1.32,JS-27,round04
0.77,1.35,JS-28,round04
0.85,1.37,JS-29,round04
0.76,1.44,JS-30,round04
0.82,1.33,JS-31,round04
0.73,1.33,JS-32,round04
0.78,1.36,JS-33,round04
0.81,1.33,JS-34,round04
0.74,1.35,JS-35,round04
0.78,1.35,JS-36,round04
0.69,1.25,JS-01,round05
0.68,1.28,JS-02,round05
0.72,1.28,JS-03,round05
0.67,1.3,JS-04,round05
0.66,1.3,JS-05,round05
0.66,1.27,JS-06,round05
0.69,1.29,JS-07,round05
0.71,1.38,JS-08,round05
0.74,1.34,JS-09,round05
0.72,1.39,JS-10,round05
0.76,1.32,JS-11,round05
0.76,1.35,JS-12,round05
0.73,1.3,JS-13,round05
0.69,1.31,JS-14,round05
0.72,1.35,JS-15,round05
0.73,1.33,JS-16,round05
0.75,1.31,JS-17,round05
0.76,1.35,JS-18,round05
0.73,1.34,JS-19,round05
0.73,1.32,JS-20,round05
0.81,1.38,JS-21,round05
1.25,1.53,JS-22,round05
0.79,1.35,JS-23,round05
0.78,1.33,JS-24,round05
0.79,1.34,JS-25,round05
0.75,1.38,JS-26,round05
0.77,1.33,JS-27,round05
0.71,1.32,JS-28,round05
0.81,1.32,JS-29,round05
0.78,1.38,JS-30,round05
0.8,1.36,JS-31,round05
0.75,1.33,JS-32,round05
0.76,1.36,JS-33,round05
0.84,1.32,JS-34,round05
0.78,1.35,JS-35,round05
0.77,1.37,JS-36,round05
0.65,1.26,JS-01,round06
0.7,1.31,JS-02,round06
0.68,1.3,JS-03,round06
0.67,1.27,JS-04,round06
0.82,1.3,JS-05,round06
0.65,1.27,JS-06,round06
0.67,1.27,JS-07,round06
0.73,1.36,JS-08,round06
0.76,1.29,JS-09,round06
0.71,1.35,JS-10,round06
0.76,1.3,JS-11,round06
0.74,1.38,JS-12,round06
0.73,1.28,JS-13,round06
0.67,1.34,JS-14,round06
0.72,1.3,JS-15,round06
0.7,1.35,JS-16,round06
0.71,1.33,JS-17,round06
0.76,1.32,JS-18,round06
0.74,1.29,JS-19,round06
0.72,1.33,JS-20,round06
0.78,1.32,JS-21,round06
1.12,1.47,JS-22,round06
0.76,1.3,JS-23,round06
0.81,1.37,JS-24,round06
0.88,1.35,JS-25,round06
0.72,1.37,JS-26,round06
0.74,1.32,JS-27,round06
0.75,1.33,JS-28,round06
0.75,1.29,JS-29,round06
0.76,1.4,JS-30,round06
0.74,1.31,JS-31,round06
0.74,1.3,JS-32,round06
0.72,1.31,JS-33,round06
0.74,1.3,JS-34,round06
0.72,1.32,JS-35,round06
0.77,1.32,JS-36,round06
0.68,1.27,JS-01,round07
0.67,1.23,JS-02,round07
0.66,1.32,JS-03,round07
0.65,1.26,JS-04,round07
0.8,1.27,JS-05,round07
0.69,1.28,JS-06,round07
0.68,1.31,JS-07,round07
0.68,1.38,JS-08,round07
0.67,1.29,JS-09,round07
0.62,1.27,JS-10,round07
0.69,1.29,JS-11,round07
0.74,1.34,JS-12,round07
0.71,1.36,JS-13,round07
0.67,1.35,JS-14,round07
0.7,1.32,JS-15,round07
0.67,1.34,JS-16,round07
0.7,1.32,JS-17,round07
0.73,1.4,JS-18,round07
0.7,1.33,JS-19,round07
0.73,1.32,JS-20,round07
0.79,1.35,JS-21,round07
0.94,1.39,JS-22,round07
0.75,1.38,JS-23,round07
0.77,1.37,JS-24,round07
0.76,1.35,JS-25,round07
0.72,1.34,JS-26,round07
0.74,1.32,JS-27,round07
0.75,1.31,JS-28,round07
0.73,1.34,JS-29,round07
0.78,1.4,JS-30,round07
0.74,1.3,JS-31,round07
0.72,1.33,JS-32,round07
0.74,1.34,JS-33,round07
0.75,1.32,JS-34,round07
0.78,1.37,JS-35,round07
0.74,1.37,JS-36,round07
0.68,1.31,JS-01,round08
0.67,1.23,JS-02,round08
0.65,1.25,JS-03,round08
0.62,1.23,JS-04,round08
0.64,1.28,JS-05,round08
0.66,1.28,JS-06,round08
