spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
JS-16,0.84447,21.5,7.1,6.9,5.7,38.1,0.48216162,215,5.901,2.296,0.787,0.616,3.635,0.365,0.324,0.27684005,36.7,1.665437361,0,18.959,7.21,4.17,토양-질소 기원
JS-17,8.49E-05,21.3,7.1,7.6,1.7,7.1,1.689388248,171,2.054,1.905,1.276,0.135,0.191,0.11,0.107,2.871,4.9,0.067914565,0,11.357,9.04,6.43,생활하수/처리수 영향
JS-18,0.000240214,18.2,7.2,7.9,1,2.2,2.976600154,237,0.954,0.911,0.754,0.027,0.032,0.012,0.011,1.043805087,1.6,7.357910472,0,7.422,8.87,1.45,생활하수/처리수 영향
JS-19,3.94E-05,22.8,7.9,10.1,3.3,6.9,1.119983306,184,1.624,1.403,0.978,0.026,0.122,0.058,0.055,2.157610364,4.4,6.990400033,0,11.257,10.48,6.58,생활하수/처리수 영향
JS-20,0.000236865,23.1,7.8,9.4,4.4,8.7,3.278597776,274,2.407,2.05,0.922,0.342,0.159,0.055,0.038,2.871,6.1,58.56456825,0,19.378,8.19,3.22,생활하수/처리수 영향
JS-21,0.001276887,22.7,7.5,9.5,3.1,7.5,0.652756959,238,2.5,2.288,1.442,0.239,0.139,0.074,0.063,0.172907511,5.3,0.219095297,0,17.664,9.77,3.74,생활하수/처리수 영향
JS-22,0.01048025,22,7.3,7.4,2.4,4.8,3.663,293,2.439,2.373,1.303,0.426,0.04,0.022,0.014,1.84683668,3,77.22,0,31.676,20.17,-2.1,생활하수/처리수 영향
JS-23,8.79E-05,23.7,7.6,9.4,4.9,8.9,2.907150751,235,2.744,2.46,1.367,0.351,0.247,0.146,0.143,1.240748716,6.4,0.105064978,0,16.898,8.17,6.16,생활하수/처리수 영향
JS-24,0.016766519,23.5,7.3,11.1,3.9,13,0.24317353,299,3.026,2.823,1.01,0.585,0.411,0.309,0.304,0.210155884,9.8,0.449944919,0,21.699,7.7,4.89,토양-질소 기원
JS-25,5.90E-05,21.9,7.4,8.9,3.4,8.6,0.161852478,236,2.424,2.202,1.243,0.254,0.196,0.127,0.121,0.433941288,6.1,6.70927482,0,17.049,8.69,5.16,생활하수/처리수 영향
JS-26,0.004006968,19.4,7.3,8.9,2.6,8.3,1.628338887,201,2.21,2.008,1.009,0.393,0.275,0.209,0.207,2.774432696,6.2,18.81992684,0,13.187,8.49,2.58,생활하수/처리수 영향
JS-27,0.000634725,23.1,7.5,9.8,2.8,8.2,3.663,245,2.401,2.239,1.518,0.142,0.188,0.12,0.115,2.399373759,5.9,0.226498752,0,18.26,9.24,6.7,생활하수/처리수 영향
JS-28,8.21E-06,20.1,7.4,10.3,1.2,6.1,0.192140748,227,1.838,1.714,1.262,0.04,0.065,0.03,0.021,0.249737314,4.4,29.08846302,0,15.658,9.46,3.75,생활하수/처리수 영향
JS-29,3.16E-05,22.7,8.4,10.2,4.1,8.5,0.655585109,228,2.28,1.86,1.264,0.079,0.185,0.097,0.091,1.212357534,5.7,0.15454924,0,16.598,10.51,9.89,생활하수/처리수 영향
JS-30,0.00021448,18.1,7.3,7.4,0.5,2.8,1.373937494,179,0.537,0.459,0.308,0.023,0.037,0.015,0.013,2.871,1.9,77.22,0,9.873,15.24,5.65,생활하수/처리수 영향
JS-31,0.001632364,22.9,8.8,9.6,2.5,6.2,1.602007462,228,1.618,1.39,0.922,0.045,0.117,0.064,0.061,0.107468942,4.8,59.21955435,0,14.955,12.19,9.81,생활하수/처리수 영향
JS-32,0.000220692,20.3,7.6,5.2,2,7.2,0.223622267,248,1.907,1.687,0.971,0.175,0.209,0.105,0.104,2.871,5.6,0.023445138,0,16.131,10.33,3.47,생활하수/처리수 영향
JS-33,0.270271051,22.5,7.8,9.2,5.2,9.6,3.663,348,4.297,4.031,2.319,0.456,0.217,0.087,0.078,2.871,7.6,0.085100157,0,42.347,10.06,1.24,생활하수/처리수 영향
JS-34,0.061180198,23.1,8.9,9.8,3.6,7.3,1.550757953,227,1.523,1.185,0.681,0.062,0.128,0.049,0.038,2.871,4.5,0.650465722,0,15.736,12.27,6.77,생활하수/처리수 영향
JS-35,0.001561584,22.1,7.7,8.2,2.6,11.8,0.106541555,285,2.65,2.415,1.042,0.21,0.236,0.078,0.067,1.64807677,8.9,0.418973125,0,21.312,7.56,1.72,토양-질소 기원
JS-36,0.020268675,22.6,8.3,9.1,3,8.3,0.584915067,252,2.226,1.946,1.245,0.056,0.168,0.068,0.062,0.930848863,6,2.776731192,0,18.326,11.08,3.28,생활하수/처리수 영향
JS-16U,0.000118723,22,7.2,7.6,0.099,1.252724287,1.385025615,262,0.27027,1.178,0.47,0.003312773,0.01188,0.039,0.032,1.229321449,0.99,2.717154628,0,20.737,9.83,-1.54,생활하수/처리수 영향
JS-16S,0.000315854,22.1,6.9,6.9,0.099,1.059742895,0.292759924,211,0.27027,2.499,0.82,0.004533108,0.01188,0.488,0.438,0.037106386,0.99,67.74687193,0,18.175,13.13,3.23,생활하수/처리수 영향
JS-20B,0.002055911,21.4,7.4,7.8,12.8,13.9,2.57917208,352,7.441,6.326,3.641,1.996,0.429,0.115,0.103,1.941888227,8.9,0.301966165,0,40.943,-1.4949,-4.5342,화학비료(농경지)
GW-1,0.004137195,6.831,0.099,3.069,0.099,1.332457748,0.696161021,47.41641985,0.27027,22.006,21.282,0.004154986,0.01188,0.112,0.109,2.871,0.99,0.863167732,0,39.961,6.83,3.8,토양-질소 기원
JS-1,1.00E-06,23.1,7.6,8.5,3.1,7.4,0.041824737,203,2.637,2.628,0.788,1.464,0.39,0.297,0.284,2.871,5.4,8.843793985,0,17.975,3.98,-0.49,토양-질소 기원
JS-2,0.012739872,23.6,7.3,7.2,1.2,4.8,3.663,99,1.027,0.89,0.62,0.038,0.065,0.027,0.014,0.395098544,3.4,6.848440204,0,6.001,7.05,2.16,토양-질소 기원
JS-3,0.0011145,23.4,7.2,9.5,1.8,5.7,1.850002577,124,1.202,1.041,0.638,0.081,0.083,0.039,0.026,2.197672254,4.1,0.002173461,0,9.358,7.81,2.87,토양-질소 기원
JS-4,0.00056184,22.3,7.3,8.3,1.5,5.7,3.663,97,1.146,1.023,0.614,0.077,0.067,0.035,0.022,0.463733195,4,11.88373467,0,6.191,7.62,0.31,토양-질소 기원
JS-5,0.000374951,23.9,7.1,7.2,1.5,5.5,1.483218771,129,1.486,1.385,0.868,0.157,0.088,0.049,0.04,2.871,4,77.22,0,9.617,7.23,4.27,토양-질소 기원
JS-6,0.153100447,24.9,7.3,7.9,3.9,8.8,0.484459804,134,1.85,1.719,0.647,0.42,0.095,0.039,0.02,0.506248093,6.7,0.874063104,0,8.333,5.52,-1.41,토양-질소 기원
JS-7,1.00E-06,24,7.1,6.9,1.5,5.8,1.789628402,128,1.551,1.41,0.892,0.08,0.064,0.031,0.019,1.788855716,4.2,8.233949276,0,9.595,7.76,2.1,토양-질소 기원
JS-8,0.008451693,23.7,6.6,5.7,1.3,6.1,3.663,175,2.595,2.532,1.927,0.104,0.153,0.108,0.104,2.871,4.7,24.61571562,0,12.201,9.16,13.54,생활하수/처리수 영향
JS-9,0.035660774,25.8,8.3,12.5,4.5,7.7,0.988769692,133,1.553,1.177,0.737,0.039,0.106,0.023,0.004,1.32347429,5.8,0.00240684,0,10.811,9.05,7.58,생활하수/처리수 영향
JS-10,0.000120651,25.5,7.5,8.7,2.3,7.6,0.308885436,235,2.036,1.889,1.132,0.156,0.146,0.094,0.087,1.539204468,5.9,7.823798241,0,24.848,11.99,4.31,생활하수/처리수 영향
JS-11,0.003640008,25.5,7.3,8.3,2.6,8.4,1.912789683,174,2.899,2.688,1.961,0.071,0.195,0.114,0.109,2.871,6.5,2.573261658,0,12.449,5.98,9.96,토양-질소 기원
JS-12,0.167538422,23.9,7.5,8.7,1.2,3.4,3.663,109,1.097,0.993,0.773,0.019,0.033,0.008,0.002,0.281111412,2.6,0.306657736,0,5.788,5.91,4.4,토양-질소 기원
JS-13,0.004905788,24.7,7.4,9.5,1.2,5.7,0.678543847,146,1.852,1.757,1.267,0.053,0.114,0.082,0.078,0.30956545,4.2,0.437345816,0,9.723,7.97,6.34,토양-질소 기원
JS-14,0.081429837,25,7.2,7.1,4,18.4,0.248145347,274,2.823,2.59,0.709,0.55,0.422,0.258,0.22,2.871,13.5,3.333510157,0,22.032,8.32,3.18,생활하수/처리수 영향
JS-15,0.000682323,24.8,7.1,7.4,3.3,12.2,0.270100562,235,2.487,2.3,1.272,0.222,0.241,0.15,0.132,2.871,8.4,8.067423088,0,16.137,8.88,7.56,생활하수/처리수 영향
JS-16,7.77E-05,24.7,7.1,7.4,3.5,14.9,3.663,245,1.878,1.723,0.5,0.162,0.175,0.104,0.073,0.662079568,10.5,11.64413186,0,18.211,6.38,1.42,토양-질소 기원
JS-17,9.74E-05,24.7,7.1,6.9,3.3,11.7,0.705100937,215,2.548,2.199,1.209,0.175,0.271,0.164,0.146,1.354223793,8.9,1.336191554,0,16.762,9.25,5.33,생활하수/처리수 영향
JS-18,0.005285247,20,7.2,7.7,0.5,2.3,3.663,237,0.942,0.839,0.691,0.036,0.028,0.01,0.007,2.871,1.8,0.201378373,0,7.748,8.56,2.98,생활하수/처리수 영향
JS-19,0.002124263,27.2,8.1,9.7,4.3,9.7,0.418353721,212,1.772,1.426,0.755,0.036,0.155,0.058,0.039,1.263891001,7.6,0.249841636,0,14.92,10.05,6.47,생활하수/처리수 영향
JS-20,0.065217507,27.4,7.5,8.2,2.2,7.9,3.663,300,2.258,2.05,1.297,0.111,0.15,0.079,0.069,2.871,6.3,77.22,0,20.54,5.16,10.28,토양-질소 기원
JS-21,0.00074181,27.2,7.5,8.6,2.7,8.5,1.021172786,274,2.843,2.594,1.724,0.211,0.152,0.082,0.07,2.871,6.7,3.74676127,0,23.191,9.02,2.76,생활하수/처리수 영향
JS-22,0.201664992,25.1,7.7,8.1,1.1,4.7,3.663,337,1.104,0.965,0.616,0.026,0.045,0.024,0.016,0.402707856,3.3,1.684574411,0,45.976,19.38,3.14,생활하수/처리수 영향
JS-23,0.007593829,27.1,8.5,9.2,4.2,12.4,0.579715751,265,2.631,2.266,1.413,0.055,0.235,0.113,0.099,2.871,8.8,1.450204692,0,21.857,8.26,5.61,생활하수/처리수 영향
JS-24,0.001863106,27.1,7.7,8.8,3.2,16,0.416247085,294,2.604,2.423,1.017,0.112,0.172,0.116,0.09,0.300680819,11.5,77.22,0,23.463,7.89,0.1,토양-질소 기원
JS-25,0.006334009,25.7,7.8,7.8,4.1,13.2,2.003325401,273,2.496,2.125,1.26,0.027,0.232,0.102,0.087,2.871,9.2,77.22,0,22.177,8.49,5.03,생활하수/처리수 영향
JS-26,0.84447,24.6,7.5,7.8,5.8,23.7,0.2632724,295,3.501,3.133,0.759,0.705,0.611,0.315,0.244,2.871,17.1,52.43688231,0,26.889,8.32,2.76,생활하수/처리수 영향
JS-27,0.022182926,26,7.4,8.6,3.2,13.3,2.488195041,286,2.924,2.615,1.688,0.082,0.239,0.155,0.142,0.045623356,9,77.22,0,22.591,7.37,8.71,토양-질소 기원
JS-28,0.003679094,25.5,7,7.9,4.8,13.2,1.447734808,238,3.722,3.465,0.945,0.616,0.149,0.056,0.033,2.871,9.5,77.22,0,18.575,4.73,1.03,토양-질소 기원
JS-29,9.10E-05,27.7,9.1,13.1,4.8,11.8,0.050157901,254,1.964,1.544,0.797,0.026,0.123,0.045,0.024,1.033976604,8,34.80030955,0,20.748,11.11,8.88,생활하수/처리수 영향
JS-30,0.001016946,22.3,7.1,7.1,1.3,3.8,1.595499338,179,0.433,0.238,0.122,0.012,0.05,0.018,0.015,0.745396506,2.6,6.116115378,0,11.715,9.15,5.78,생활하수/처리수 영향
JS-31,0.004181525,28,9.1,13,6.2,12.2,0.754317532,256,1.963,1.454,0.753,0.03,0.149,0.047,0.032,0.791787786,8.4,0.234088515,0,20.995,11.59,8.86,생활하수/처리수 영향
JS-32,1.11E-05,26.4,7.3,3.1,3.2,9.5,0.571977346,285,2.111,1.795,0.342,0.74,0.328,0.132,0.128,2.871,7.7,0.659088415,0,20.811,12.06,4.85,생활하수/처리수 영향
JS-33,1.11E-06,27,8,8.4,4.4,13,0.603371611,315,2.706,2.262,1.378,0.081,0.159,0.055,0.039,1.2350232,9.2,0.750601734,0,37.981,9.63,2.5,생활하수/처리수 영향
JS-34,0.002446202,27.3,9.1,12.9,5.8,12.7,0.512578705,271,2.267,1.658,0.902,0.047,0.161,0.041,0.021,1.141225075,8.8,0.031383967,0,23.801,11.8,8.14,생활하수/처리수 영향
JS-35,0.014056564,25,7.4,6.9,2.6,12.9,0.36349485,281,2.358,2.032,1.18,0.053,0.168,0.086,0.075,1.740634022,9.3,0.003450276,0,25.395,8.84,3.22,생활하수/처리수 영향
JS-36,0.016040588,25.5,7.5,8,2.6,12.5,1.424587572,285,2.617,2.177,1.465,0.03,0.186,0.086,0.08,0.307333303,8.9,4.251649038,0,25.149,10.72,4.22,생활하수/처리수 영향
JS-20B,0.236729618,23.5,7.3,7.3,11.2,13.1,0.748020106,365,6.787,6.013,3.526,1.925,0.423,0.123,0.098,0.187544315,10,77.22,0,44.474,8.12,-0.73,생활하수/처리수 영향
JS-22B,0.225479768,24.2,7.5,8.1,0.1,4.6,0.268387327,473,2.022,1.793,1.336,0.043,0.042,0.014,0.003,2.871,3.5,77.22,0,73.1,21.7,4.57,축산분뇨(직접유출)
JS-26S,0.000128611,26.1,7.8,7.3,0.099,1.485,0.173839914,558,0.27027,6.843,0.442,0.002820468,0.01040899,0.913,0.707,2.871,0.812173351,2.545326518,0,56.443,5.11,4.53,토양-질소 기원
JS-35B,0.117902068,6.831,0.099,3.069,18.1,1.030439208,0.802938045,37.64025857,13.017,11.968,4.731,6.573,0.885,0.494,0.49,2.118334142,17.6,2.134019083,0,70.017,-1.4949,-4.5342,화학비료(농경지)
GW-2,0.013454459,6.831,0.099,3.069,0.099,1.485,1.102166949,42.08999511,0.27027,23.439,23.021,0.001871623,0.01188,0.53,0.526,2.871,0.910330004,0.325988949,0,43.309,-1.4949,-4.5342,토양-질소 기원
GW-3,0.001493667,6.831,0.099,3.069,0.099,1.485,1.436111153,49.36093769,0.27027,19.186,0.10296,0.00223365,0.01188,0.006,0.003,0.455494814,0.976492582,77.22,0,1.332944425,-1.4949,-4.5342,토양-질소 기원
JS-1,0.01316368,22.4,7.5,9.2,1.2,5.1,2.866539974,129,0.88,0.757,0.48,0.054,0.098,0.055,0.044,2.871,3.5,0.953609579,0,10.197,6.12,1.97,토양-질소 기원
JS-2,0.022950562,23.5,7.3,8.5,1.1,4.8,0.367419533,110,1.412,1.298,0.954,0.073,0.05,0.028,0.014,0.37764357,3.5,77.22,0,6.036,6.55,1.17,토양-질소 기원
JS-3,9.58E-05,23.8,7.4,9.4,1,4.6,1.953319756,126,1.192,1.049,0.744,0.066,0.078,0.038,0.028,1.457165306,3.4,64.76154967,0,9.049,7.43,2.73,토양-질소 기원
JS-4,3.02E-05,23.2,7.5,9.1,0.8,4.2,0.321687481,83,0.816,0.706,0.49,0.065,0.043,0.022,0.011,2.871,2.8,77.22,0,4.844,6.53,0.43,토양-질소 기원
JS-5,0.003201488,22.8,7.2,7.8,1.1,5.4,0.779938406,126,1.326,1.18,0.821,0.124,0.102,0.061,0.055,2.871,3.7,0.245830491,0,8.915,7.01,3.91,토양-질소 기원
JS-6,0.001946591,23,7.4,9,1.5,6,0.616806633,103,1.056,0.919,0.537,0.104,0.097,0.054,0.041,0.81174603,4.2,0.08144975,0,5.869,6.21,-0.51,토양-질소 기원
JS-7,0.01937917,23.2,7.1,8.2,1,5.3,0.711110348,116,1.136,1.044,0.712,0.065,0.071,0.043,0.032,0.976618176,3.5,15.4916762,0,7.92,7.7,2.04,토양-질소 기원
JS-8,0.000825029,22,6.7,6.4,0.9,4,1.655158146,148,2.622,2.459,2.182,0.094,0.267,0.221,0.218,0.641481867,2.7,3.298113668,0,9.751,10.48,12.49,생활하수/처리수 영향
JS-9,1.30E-05,24.6,6.9,7.4,1.2,6.1,0.702111117,122,1.584,1.418,0.932,0.179,0.132,0.089,0.08,0.070116494,4.2,77.22,0,8.236,8.81,4.87,생활하수/처리수 영향
JS-10,0.00020543,23.4,7.1,8.7,2.2,8.8,2.288177786,223,2.309,2.129,1.11,0.419,0.182,0.11,0.104,2.147718469,6.6,77.22,0,18.408,10.86,1.1,생활하수/처리수 영향
JS-11,0.000154996,24,7.2,7.5,1.6,7.2,0.073188637,150,2.404,2.198,1.555,0.196,0.236,0.151,0.145,0.185696112,5.1,0.036430846,0,9.449,7.56,5.75,토양-질소 기원
JS-12,0.005011339,24,7.3,8.6,0.7,1.5,1.453584552,201,1.234,1.134,0.921,0.073,0.042,0.022,0.015,0.04895345,2.2,49.64037856,0,7.29,8.78,2.46,생활하수/처리수 영향
JS-13,0.010709176,24.3,7.3,8.8,1,6.4,0.172332661,149,2.008,1.883,1.404,0.088,0.168,0.131,0.128,0.227662933,4.6,0.510270108,0,9.193,9.63,3.12,생활하수/처리수 영향
JS-14,0.741044408,24.2,7.2,6.9,4.9,18.4,0.053363235,263,3.263,2.865,0.491,1.342,0.895,0.598,0.593,0.018057983,12.3,0.389710923,0,16.838,5.39,-2.71,토양-질소 기원
JS-15,0.002101243,24.2,7,6.4,1.4,8.4,0.206146254,164,1.999,1.791,1.088,0.204,0.245,0.167,0.164,0.512088171,6.1,77.22,0,10.6,9.68,3.41,생활하수/처리수 영향
JS-16,3.03E-06,23.5,7.1,6.7,4.9,13.2,0.022202902,213,2.784,2.479,0.761,0.797,0.229,0.131,0.114,0.418163296,9.2,12.5046378,0,12.163,4.48,-3.74,토양-질소 기원
JS-17,0.012601815,23.9,7.1,6,2,9,2.674574006,173,2.239,1.992,1.128,0.295,0.243,0.161,0.159,0.334613429,6.7,3.826823651,0,11.32,9.07,1.86,생활하수/처리수 영향
JS-18,0.017527671,20.6,7.2,7.5,0.3,2.9,0.351847803,228,0.754,0.684,0.567,0.02,0.02,0.01,0.005,0.038837758,2,77.22,0,7.141,8.57,2.31,생활하수/처리수 영향
JS-19,4.75E-05,24.1,7.2,8.4,1.5,7.8,0.289226071,180,1.7,1.502,0.874,0.187,0.148,0.083,0.079,1.518287665,5.7,3.707317122,0,11.026,8.5,4.31,생활하수/처리수 영향
JS-20,1.00E-06,24.9,7.3,7.6,1.6,7.4,0.043535945,281,1.761,1.569,0.858,0.273,0.113,0.06,0.051,0.348668144,5.6,1.572584696,0,15.479,7.82,2.5,토양-질소 기원
JS-21,0.000528215,24.7,7.2,6.9,2.4,7.9,1.058808775,264,3.212,2.957,1.977,0.569,0.184,0.099,0.094,2.871,5.9,0.009021149,0,19.633,8.67,2.59,생활하수/처리수 영향
JS-22,0.000311653,23.8,7.7,7.8,0.7,3.8,0.299881287,312,1.055,0.957,0.724,0.026,0.041,0.023,0.013,0.130878943,2.8,22.19273818,0,35.561,17.45,3.43,생활하수/처리수 영향
JS-23,0.000196693,23.9,7.6,8.8,2.1,8.1,0.441928015,233,2.414,2.152,1.519,0.189,0.18,0.105,0.103,0.904232926,6.1,0.0796655,0,15.664,8.4,4.21,생활하수/처리수 영향
JS-24,0.00106471,24.2,7.8,7.4,2.9,12.8,0.1266994,239,2.307,2.097,0.972,0.247,0.185,0.097,0.082,2.871,9,0.00403908,0,13.983,6.67,-0.71,토양-질소 기원
JS-25,0.000257544,24.5,7.7,7.4,2.1,8.3,0.466262906,239,2.373,2.187,1.504,0.172,0.18,0.117,0.11,0.444643257,6.2,24.87282237,0,15.841,8.73,3.22,생활하수/처리수 영향
JS-26,0.004271597,23.4,7.8,7.3,2.3,9.4,1.054563408,228,2.165,1.959,1.026,0.189,0.19,0.103,0.096,2.871,7.5,0.125654694,0,14.048,8.03,2.42,생활하수/처리수 영향
JS-27,0.000227049,24.7,7.8,8.9,1.9,8.5,0.371365699,243,2.527,2.432,1.663,0.142,0.201,0.142,0.138,0.200635598,6.5,0.000434125,0,15.883,8.59,5.72,생활하수/처리수 영향
JS-28,0.155399865,23.1,7.9,8.2,2.7,9.5,1.218249016,269,2.067,1.85,1.272,0.101,0.14,0.043,0.031,2.871,7.8,22.42339467,0,17.835,9.61,3.81,생활하수/처리수 영향
JS-29,0.006897986,24.9,7.7,7.5,2.6,9,0.184465969,229,2.104,1.885,1.109,0.228,0.16,0.094,0.086,2.322789156,6.8,0.760301995,0,14.838,7.91,4.46,토양-질소 기원
JS-30,0.520337561,21.1,7.3,6.5,0.9,3,0.624970624,183,0.522,0.45,0.295,0.015,0.042,0.025,0.02,0.711945683,2.3,0.489485034,0,11.137,12.22,6.25,생활하수/처리수 영향
JS-31,0.84447,24.8,7.1,7.9,2.1,8.2,1.288509519,227,1.982,1.821,1.083,0.184,0.14,0.091,0.086,0.135991615,6.3,0.633497078,0,14.699,8.25,3.45,생활하수/처리수 영향
JS-32,0.07929849,24.1,6.8,7.1,1.8,8.4,1.335858705,229,1.948,1.785,1.152,0.099,0.181,0.107,0.1,2.871,6.4,7.062445998,0,15.487,8.81,2.65,생활하수/처리수 영향
JS-33,0.45408283,24.9,7,7.5,6.5,12.8,0.13104124,280,3.232,3.028,1.215,0.94,0.192,0.08,0.066,2.871,9.1,0.561536476,0,27.573,7.21,-0.72,토양-질소 기원
JS-34,0.84447,25.1,7.6,7.9,2.8,9.2,1.298879387,246,2.428,2.236,1.201,0.369,0.149,0.083,0.074,1.450520988,7.3,77.22,0,18.877,7.76,2.06,토양-질소 기원
JS-35,0.091884584,25,7.5,6.7,2.5,14.7,0.672747981,323,2.69,2.486,1.351,0.203,0.217,0.115,0.104,2.871,10.8,2.383396967,0,26.072,10.16,1.11,생활하수/처리수 영향
JS-36,0.032068208,25.3,7.6,8.7,2.4,9,3.663,254,2.712,2.401,1.775,0.154,0.149,0.079,0.075,0.23360783,7,77.22,0,18.921,9.77,3.2,생활하수/처리수 영향
JS-20B,0.000141318,23.4,7.1,6.8,10.3,11.7,2.081277409,384,12.655,7.21,4.248,2.962,0.511,0.132,0.111,0.509162974,9.9,77.22,0,46.903,8.98,-0.69,생활하수/처리수 영향
JS-9B,0.000191037,23.6,6.8,5.6,3.2,6.7,0.210872112,246,2.476,2.256,0.363,1.747,0.13,0.065,0.047,2.871,4.9,77.22,0,52.81,2.16,-3.58,토양-질소 기원
JS-1,0.074246984,22,7.8,8.5,0.7,3,0.405802887,128,0.913,0.849,0.772,0.039,0.042,0.028,0.014,0.538886588,2,1.090921896,0,10.545,6.11,2.89,토양-질소 기원
JS-2,0.001904418,22.9,7.1,7.7,1,4.4,3.57046303,66,0.972,0.861,0.77,0.033,0.036,0.013,0.001,2.871,3.2,77.22,0,4.125,3.81,2.95,토양-질소 기원
JS-3,0.471865661,22.7,7,8.2,0.8,4,1.008908122,77,0.985,0.861,0.776,0.03,0.038,0.013,0.001,2.871,2.8,77.22,0,5.074,4.62,2.84,토양-질소 기원
JS-4,0.002368024,23.5,7.1,8,0.7,3.8,3.663,76,0.712,0.586,0.517,0.046,0.042,0.024,0.011,2.871,2.6,0.356741381,0,4.449,6.03,1.99,토양-질소 기원
JS-5,0.000233556,23.1,7,8,0.8,3.7,3.663,81,1.003,0.863,0.773,0.053,0.05,0.019,0.007,1.293369128,2.9,0.476008987,0,5.347,4.99,2.78,토양-질소 기원
JS-6,0.045367162,23.4,7.1,8.1,0.8,3.9,2.879990615,96,1.062,0.914,0.777,0.075,0.063,0.031,0.019,2.259285094,3.1,77.22,0,5.578,6.02,1.75,토양-질소 기원
JS-7,1.15E-05,23.2,6.8,7.5,0.7,3.9,0.489076667,88,1.023,0.907,0.815,0.045,0.051,0.024,0.014,0.052253756,2.5,3.405357285,0,5.783,5.99,2.52,토양-질소 기원
JS-8,0.068668458,23.6,6.8,7.4,0.6,2.8,1.576151222,111,1.812,1.698,1.585,0.073,0.207,0.172,0.169,0.363009031,1.9,77.22,0,7.21,11.9,5.72,생활하수/처리수 영향
JS-9,0.001725048,24.7,6.9,7.6,0.7,3.5,0.056514007,107,1.382,1.215,1.11,0.074,0.105,0.067,0.064,2.871,2.5,19.40921652,0,6.818,8.87,4.33,생활하수/처리수 영향
JS-10,4.85E-05,24.3,7,7.5,1.2,6.6,0.310700148,104,1.171,0.958,0.616,0.203,0.141,0.095,0.086,2.871,4.7,0.576923147,0,6.578,7,0.8,토양-질소 기원
JS-11,0.84447,24.6,7,7.2,0.8,3.8,0.554198791,115,1.551,1.408,1.26,0.093,0.135,0.084,0.081,1.048748852,2.8,74.18960267,0,7.266,9.21,4.83,생활하수/처리수 영향
JS-12,6.31E-06,23.5,7.1,8.2,0.7,3.1,2.724034967,105,1.488,1.367,1.292,0.028,0.036,0.014,0.007,0.41297605,2.3,0.032355659,0,5.164,6.29,2.6,토양-질소 기원
JS-13,0.001444538,24.5,7.1,7.9,0.7,4,0.826499677,117,1.669,1.57,1.415,0.062,0.121,0.08,0.075,2.871,2.7,4.769891984,0,6.978,8.46,3.28,생활하수/처리수 영향
JS-14,0.130309729,25.1,7,7.3,1.4,9.6,0.34800716,199,1.951,1.734,0.977,0.22,0.352,0.246,0.239,1.058695928,7.1,77.22,0,11.157,9.51,-0.05,생활하수/처리수 영향
JS-15,0.000460309,25.3,7.3,6.9,0.7,4.4,2.686826268,126,1.564,1.452,1.23,0.067,0.141,0.091,0.087,2.871,3.1,0.128106305,0,7.511,8.83,2.51,생활하수/처리수 영향
JS-16,0.000104142,25.4,6.9,6.5,1,6.8,1.184581118,155,1.515,1.345,0.936,0.148,0.145,0.076,0.069,0.191257029,5,77.22,0,8.934,8.56,0.56,생활하수/처리수 영향
JS-17,1.99E-05,25.4,7,6.8,0.7,4.4,3.663,126,1.61,1.498,1.28,0.074,0.147,0.097,0.09,2.871,3.2,0.018214442,0,7.522,8.73,2.43,생활하수/처리수 영향
JS-18,0.84447,22.6,6.8,7,0.4,2.8,0.176862323,225,1.995,1.984,1.908,0.023,0.034,0.019,0.018,0.908625937,2,3.786595495,0,8.847,8.97,0.02,생활하수/처리수 영향
JS-19,0.073281917,25.7,7.1,7.8,0.8,4.8,0.54669619,141,1.546,1.42,1.209,0.083,0.127,0.079,0.076,0.98598976,3.2,77.22,0,7.666,8.94,2.55,생활하수/처리수 영향
JS-20,0.004093329,24.9,7.1,7.7,0.9,4.3,0.729380102,179,1.89,1.786,1.491,0.131,0.089,0.047,0.038,0.450050178,3.2,1.104196533,0,10.37,7.36,1.4,토양-질소 기원
JS-21,0.00090589,25.7,7.1,6.8,1.2,5,0.823098598,169,2.128,1.913,1.63,0.161,0.127,0.074,0.07,2.871,3.5,0.266384681,0,10.829,8.72,1.45,생활하수/처리수 영향
JS-22,0.007925722,24,7.4,7.6,0.6,3.4,3.663,257,2.273,2.24,2.08,0.029,0.052,0.031,0.023,0.1241179,2.5,0.054598658,0,24.371,10.63,-0.49,생활하수/처리수 영향
JS-23,0.000208412,26,7.2,7.4,1.1,5,0.377325648,184,2.188,2.036,1.665,0.201,0.148,0.093,0.09,1.525229204,3.8,35.92730391,0,10.77,8.49,0.88,생활하수/처리수 영향
JS-24,0.00165052,25.9,7.2,7.1,1.2,8.3,1.994884806,233,2.107,2.009,1.353,0.119,0.209,0.125,0.12,0.22963839,6.4,2.110416189,0,9.576,8.81,2.57,생활하수/처리수 영향
JS-25,0.123040039,25.9,6.9,7,1.2,5.1,0.37533354,186,2.26,2.111,1.711,0.198,0.159,0.098,0.097,2.871,3.7,6.778511793,0,10.731,8.29,1.21,생활하수/처리수 영향
