spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
지석천4,3.525,11,7.1,12.7,5.8,9,19.6,262,3.12,2.96,2.234,0.042,0.171,0.074,0.059,59.1,7.4,2200,140,24.672,10.3,6.12,생활하수/처리수 영향
나주,0.041167746,13.9,7.3,9.8,8.1,8.5,9.4,404,7.291,7.107,1.614,5.34,0.108,0.07,0.036,31.4,7.3,4100,62,55.761,8.39,4.1,생활하수/처리수 영향
삼포천2,0.000707281,14.9,8.2,10.9,6.5,13.5,89.8,693,7.102,6.482,4.618,0.904,0.163,0.07,0.045,45.1,10.5,1.609166377,0,136.303,11.82,2.2,생활하수/처리수 영향
우치,678.881,16.5,7.6,11.9,7.5,9.9,16.3,360,1.334,1.027,0.685,0.029,0.088,0.022,0.006,88.1,7,2300,5,54.8,14.1,12.2,조류증식(현장발생)
광산,11.452,16.5,7,8.2,9,12.1,6.7,469,9.182,8.697,1.033,7.658,0.108,0.046,0.01,55.7,9.2,2000,44,69.7,8.5,2.8,생활하수/처리수 영향
오수천2,0.828179816,15.3,7.5,10.8,2.9,5.9,15.8,202,1.857,0.23067,0.10296,0.004346768,0.065,0.00495,0,0.336936321,4.7,0.703620888,0,18.4,9.6,5.2,생활하수/처리수 영향
죽산,0.011805831,14.9,7.9,11.7,6.4,11.6,8.7,394,6.39,5.835,1.915,3.567,0.133,0.053,0.013,76,8.7,880,2,55.8,10.4,4,생활하수/처리수 영향
황룡강5,78.01,16.5,7.8,9.4,4.4,7,10.8,294,1.552,1.432,0.861,0.217,0.072,0.036,0.022,14.3,5.3,30000,200,39.6,6.1,3.9,토양-질소 기원
지석천4,2.659,15.8,8,10.8,6.3,9.5,18.3,279,2.532,2.306,1.809,0.062,0.194,0.086,0.085,74.9,7.1,12000,3400,26.5,11.7,5,생활하수/처리수 영향
나주,0.023212817,15.8,7.4,9.7,5.3,9.8,10.7,417,7.265,6.998,1.388,5.298,0.14,0.063,0.032,48.1,8.2,2600,57,59.4,7.6,2.7,내생부하(정체수역 유기물 축적)
우치,0.214875731,16.2,6.9,8.9,2.3,8.4,15.9,185,2.617,2.537,1.732,0.302,0.164,0.108,0.102,14.3,6.1,25000,410,24.7,6.6,1.7,토양-질소 기원
광산,32.792,15.9,6.7,8,5.6,8.9,19.4,237,3.659,3.302,1.582,1.423,0.189,0.08,0.075,25.7,7,250000,8100,30.8,5.1,-2.3,내생부하(정체수역 유기물 축적)
함평,1.52E-06,15.2,7.7,10.7,5.7,12.3,14.3,366,6.205,5.721,1.933,3.175,0.218,0.089,0.048,122.1,10.5,77.22,0,50.3,7.6,1.9,내생부하(정체수역 유기물 축적)
무안2,0.350552422,11.5,8.2,9.8,1.8,7.9,7.9,5220,5.047,4.561,2.737,1.443,0.071,0.029,0.004,17.5,6.3,650,9,625.8,10.1,4.9,생활하수/처리수 영향
고막원천4,0.014211501,13.8,7.2,8.9,3.9,11.7,68.8,221,5.185,4.983,2.854,0.905,0.379,0.24,0.234,27,9.3,70.88646073,0,34.8,5.3,0.1,내생부하(정체수역 유기물 축적)
요천3,3.797,16,7.8,11,1.3,5.7,6,238,2.422,2.39,1.823,0.064,0.053,0.025,0.017,16.6,4.7,5600,45,28.5,6.7,2,내생부하(정체수역 유기물 축적)
오수천2,6.292,12.8,7.3,11.6,1.1,4.9,5.4,178,3.025,3.019,2.45,0.024,0.06,0.044,0.03,4,4.2,1800,27,42.9,6.5,4.1,토양-질소 기원
죽산,1.00E-06,15.7,6.6,6.9,4.5,8.2,18.5,200,3.487,3.256,1.498,1.533,0.163,0.079,0.075,24.8,6,47000,960,22.6,3.2,-0.1,내생부하(정체수역 유기물 축적)
황룡강5,13.6,15.5,7,9.5,2.6,7.4,13.6,179,3.067,3.023,2.469,0.108,0.161,0.118,0.114,16.1,5.4,54000,2700,10.3,4.6,1.9,내생부하(정체수역 유기물 축적)
지석천4,3.31E-05,15.2,6.8,8.9,1.7,6.8,22,159,2.441,2.313,1.743,0.268,0.111,0.051,0.049,10.4,4.8,11000,800,23,4.6,1.8,토양-질소 기원
나주,0.001460746,15.5,7.2,9.2,3.8,7.7,21.5,178,3.276,3.047,2.051,0.749,0.195,0.114,0.114,20.2,5.9,59000,3200,18,5.7,1.1,내생부하(정체수역 유기물 축적)
삼포천2,7.37E-05,14.1,7.1,8.2,4.5,16.9,108.1,389,6.801,6.372,3.995,1.169,0.609,0.335,0.321,38.7,12.5,1.259578199,0,58.7,10.3,2.1,생활하수/처리수 영향
우치,0.007122403,16.4,5.9,9,1.6,6.6,17,210,2.457,2.453,1.803,0.108,0.129,0.082,0.068,11.8,4.7,9500,380,23.9,6.4,3.7,토양-질소 기원
광산,19.321,17,6.8,6.7,4,7.6,11.4,263,5.304,5.009,1.616,3.155,0.229,0.108,0.091,23.6,6.9,110000,6800,32.6,3.9,2,내생부하(정체수역 유기물 축적)
함평,68.361,15.8,6.9,7.4,4.5,8.4,20.3,255,4.636,4.517,1.667,2.646,0.156,0.098,0.093,18.6,7.2,7100,360,31.9,3.8,-0.9,내생부하(정체수역 유기물 축적)
